work_id,state,constituency,honble_members_of_parliament,work_category,work_description,work_status,status_category,anomaly_score,anomaly_label,anomaly_severity,anomaly_category,triggered_rules,explanation,key_metrics,statistical_score,rule_score,if_score,sanction_amount,total_spent,cost_overrun_ratio,amount_disbursed,sanction_delay_days,completion_duration_days,recommended_date,sanction_date,completion_date,vendor_hhi,vendor_count,payment_count,max_vendor_share,single_vendor_flag,missing_image_flag,payment_still_pending,near_threshold_count,near_threshold_ratio,advance_payment_ratio,amount_vs_category_median,duration_vs_category_median
WS/MP492/2024-2025/134981,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,Normal/Others,15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Physical Inspection,Completed,0.7515485093139804,True,high,vendor,"R05,R06,R09","Completed work worth ₹9,900,000 has no verification photograph attached, which is a compliance gap. 100% of all payments (15.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00). All ₹9,900,000 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹9,900,000; Disbursed: ₹9,900,000; Cost ratio: 1.00; Sanction delay: 21d; Duration: 89d",0.7503121476406196,0.7000000000000001,0.8113442068680727,9900000.0,9900000.0,1.0,9900000.0,21,89.0,2024-08-07,2024-08-28,2024-11-25,1.0,1.0,15.0,1.0,True,True,False,0.0,0.0,0.06666666666666667,33.0,0.39035087719298245
WS/MP18201/2024-2025/141045,Uttar Pradesh,AONLA,NEERAJ MAURYA,Normal/Others,supply and installation of led semi high mast light at 274 different places in district budaun,Physical Inspection,Completed,0.750237873780916,True,high,vendor,"R06,R09","100% of all payments (46.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00). All ₹46,470,400 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹46,470,400; Disbursed: ₹46,470,400; Cost ratio: 1.00; Sanction delay: 69d; Duration: 238d",0.7502572047397594,0.6875,0.8219244931313605,46470400.0,46470400.0,1.0,46470400.0,69,238.0,2024-09-15,2024-11-23,2025-07-19,1.0,1.0,46.0,1.0,True,False,False,0.0,0.0,0.02189858490566038,154.90133333333333,1.043859649122807
WS/MP792/2024-2025/136732,Uttar Pradesh,HARDOI (SC),Jai Prakash,Normal/Others,39 ?? 170-200 ??? 06 ?? ???????? ???? ?? ????????? ?????,Work Completed,Completed,0.73943968967829,True,high,vendor,R06,"97% of all payments (6.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.94).","Sanction: ₹8,602,500; Disbursed: ₹8,523,854; Cost ratio: 0.99; Sanction delay: 74d; Duration: 29d",0.7499981096566443,0.75,0.7198290350403682,8602500.0,8523854.0,0.9908577739029352,8523854.0,74,29.0,2024-08-22,2024-11-04,2024-12-03,0.9381706152276452,3.0,6.0,0.9683241876268646,False,False,False,0.0,0.0,0.41801865681885214,28.675,0.12719298245614036
WS/MP492/2024-2025/134984,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,Normal/Others,Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Physical Inspection,Completed,0.7322672621745919,True,high,vendor,"R06,R09","100% of all payments (9.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00). All ₹37,908,000 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹37,908,000; Disbursed: ₹37,908,000; Cost ratio: 1.00; Sanction delay: 21d; Duration: 89d",0.75,0.6875,0.7707636062131198,37908000.0,37908000.0,1.0,37908000.0,21,89.0,2024-08-07,2024-08-28,2024-11-25,1.0,1.0,9.0,1.0,True,False,False,0.0,0.0,0.1282051282051282,126.36,0.39035087719298245
WS/MP18176/2024-2025/146590,Tamil Nadu,DINDIGUL,SACHITHANANTHAM R,Normal/Others,"Providing CCTV camera system for security in Palani Municipality (CCTV Camera Maintanance Control: Deputy Superintentdent of police, Palani)",Physical Inspection,Completed,0.7106152352217974,True,high,temporal,"R04,R05","This ₹4,999,254 work was completed in only 1 days, which is suspiciously fast for a project of this budget. Completed work worth ₹4,999,254 has no verification photograph attached, which is a compliance gap.","Sanction: ₹4,999,254; Disbursed: ₹4,999,254; Cost ratio: 1.00; Sanction delay: 103d; Duration: 1d",0.749285751546304,0.6875,0.709410849529204,4999254.0,4999254.0,1.0,4999254.0,103,1.0,2024-10-09,2025-01-20,2025-01-21,0.635317971000602,2.0,3.0,0.760113408920611,False,True,False,0.0,0.0,0.3800567044603055,16.66418,0.0043859649122807015
WS/MP18183/2024-2025/143387,Tamil Nadu,THANJAVUR,MURASOLI S,Normal/Others,"Construction of new library building in Thanjavur Municipal Corporation Central Library Complex,thanjavur",Physical Inspection,Completed,0.7100384356384627,True,high,financial,R10,"92% of total funds were disbursed in the first payment, despite having 3.0 total payments, indicating excessive upfront payment.","Sanction: ₹4,980,095; Disbursed: ₹4,980,095; Cost ratio: 1.00; Sanction delay: 154d; Duration: 441d",0.7492516690447255,0.75,0.6363586239350894,4980095.0,4980095.0,1.0,4980095.0,154,441.0,2024-09-25,2025-02-26,2026-05-13,0.8526247232733707,3.0,3.0,0.9207225966572927,False,False,False,0.0,0.0,0.9207225966572927,16.600316666666668,1.9342105263157894
WS/MP391/2025-2026/146422,Tamil Nadu,CHENNAI CENTRAL,Thiru Dayanidhi Maran,Normal/Others,"CONSTRUCTION OF BOXING ACADEMY BUILDING IN GOPALAPURAM WARD 111, PART 25, ZONE 9 OF CHENNAI CENTRAL CONSITUENCY",Work Completed,Completed,0.6973363086166718,True,high,temporal,"R03,R04,R09","Sanction was delayed by 423 days after recommendation, far exceeding the typical processing time. This ₹10,000,000 work was completed in only 4 days, which is suspiciously fast for a project of this budget. All ₹9,749,010 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹10,000,000; Disbursed: ₹9,749,010; Cost ratio: 0.97; Sanction delay: 423d; Duration: 4d",0.7503121813913638,0.7000000000000001,0.6564521807680883,10000000.0,9749010.0,0.974901,9749010.0,423,4.0,2024-10-09,2025-12-06,2025-12-10,1.0,1.0,2.0,1.0,True,False,False,0.0,0.0,0.4908020404123085,33.333333333333336,0.017543859649122806
WS/MP352/2025-2026/135862,Kerala,ERNAKULAM,Shri Hibi Eden,Normal/Others,"Construction of Smart Anganwadi at Ward 21, Chellanam Grama Panchayath",Physical Inspection,Completed,0.6899793011728477,True,high,vendor,"R03,R06","Sanction was delayed by 403 days after recommendation, far exceeding the typical processing time. 93% of all payments (5.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.88).","Sanction: ₹2,362,903; Disbursed: ₹2,362,903; Cost ratio: 1.00; Sanction delay: 403d; Duration: 294d",0.6166601987933252,0.6875,0.7451835756414753,2362903.0,2362903.0,1.0,2362903.0,403,294.0,2024-08-16,2025-09-23,2026-07-14,0.8761690251949882,4.0,5.0,0.9338313929941263,False,False,False,1.0,0.2,0.5284795863393461,7.876343333333334,1.2894736842105263
WS/MP370/2024-2025/145533,Odisha,SUNDARGARH (ST),Shri Jual Oram,Normal/Others,Const. of CC Building at Sagjore Sadhopoda,Work partially Completed,Ongoing,0.6857786794779793,True,high,financial,"R06,R10","97% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.94). 97% of total funds were disbursed in the first payment, despite having 4.0 total payments, indicating excessive upfront payment.","Sanction: ₹700,000; Disbursed: ₹282,400; Cost ratio: 0.40; Sanction delay: 55d; Vendor HHI: 0.94",0.4522296100230958,0.8250000000000001,0.6934893627777294,700000.0,282400.0,0.4034285714285714,,55,,2024-10-04,2024-11-28,,0.935269467594636,4.0,4.0,0.9668767705382436,False,False,False,0.0,0.0,0.9668767705382436,2.3333333333333335,
WS/MP18161/2024-2025/138075,Rajasthan,BHARATPUR(SC),SANJNA JATAV,Normal/Others,Suraksha Deewar shamshan Ghat bhadeera work agency GP bhadeera,Work partially Completed,Ongoing,0.6830726559175064,True,high,vendor,R06,"91% of all payments (12.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.83).","Sanction: ₹600,000; Disbursed: ₹589,353; Cost ratio: 0.98; Sanction delay: 102d; Vendor HHI: 0.83",0.4495432112881172,0.75,0.7733910088442202,600000.0,589353.0,0.982255,,102,,2024-09-01,2024-12-12,,0.8316002755530422,11.0,12.0,0.911394359577367,False,False,False,0.0,0.0,0.7635491802026969,2.0,
